rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH105D_P7_G2_S75_L004_R1_001	0.429312458	0.335398028	0.311497712	-0.335450622	-0.352344365	-0.113307643	0.119111632	-0.146524313	MES.2	MES.2	MES	Diff	MES	MES	MGH105D	MGH105D_P7_G1_S4_L004.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_G3_S76_L004_R1_001	-0.02998062	0.265601837	0.940952463	0.269161084	0.426488971	0.100544121	0.117068132	-0.128174556	AC	AC	AC	Diff	AC	AC	MGH105D	MGH105D_P7_G1_S4_L004.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_G4_S77_L004_R1_001	-0.479180491	-0.842638286	0.292741329	0.304261847	0.127350924	0.182087351	-0.089188118	-0.252567568	OPC	OPC	OPC	Undiff	PRO	OPC	MGH105D	MGH105D_P7_G1_S4_L004.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_G6_S79_L004_R1_001	-0.300187304	-0.636494604	0.269350086	0.368853878	0.840077238	0.431694948	-0.561089098	5.27E-05	G2.M	NPC.1	NPC	G2.M	G2.M	G2.M	MGH105D	MGH105D_P7_G1_S4_L004.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_G8_S80_L004_R1_001	-0.183678436	0.352590757	0.441927704	-0.571761785	-0.692263766	-0.065396207	-0.09258973	0.105644751	AC	AC	AC	Diff	AC	AC	MGH105D	MGH105D_P7_G1_S4_L004.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_H10_S93_L004_R1_001	-0.188165302	0.155710779	0.037902106	-0.303433938	-0.601488737	-0.534545717	-0.356612666	0.057238115	MES.1	MES.1	MES	Diff	MES	MES	MGH105D	MGH105D_P7_G1_S4_L004.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_H3_S87_L004_R1_001	-0.144174365	0.490007902	1.284064807	-0.003731352	-0.689984354	-0.158638023	-0.383543363	-0.161765334	AC	AC	AC	Diff	AC	AC	MGH105D	MGH105D_P7_G1_S4_L004.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_H4_S88_L004_R1_001	0.660368787	0.590473859	-0.354210196	-0.89803735	-0.642801747	0.121341563	0.978711488	-0.177406144	G1.S	MES.2	MES	G1.S	G1.S	G1.S	MGH105D	MGH105D_P7_G1_S4_L004.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_H5_S89_L004_R1_001	-0.556254976	-0.122454696	-0.493727609	0.294588623	0.82145023	0.093919943	0.191227598	-0.214898217	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105D	MGH105D_P7_G1_S4_L004.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_H6_S90_L004_R1_001	-0.103995289	0.841239974	0.584691483	-0.582874668	-0.935902255	-0.11066767	0.033676241	0.052726756	MES.1	MES.1	MES	Diff	MES	MES	MGH105D	MGH105D_P7_G1_S4_L004.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105D_P7_H7_S91_L004_R1_001	-0.085696927	-0.647438262	-2.164626451	0.846311365	1.832368597	0.759557948	-0.52363504	-0.079282781	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105D	MGH105D_P7_G1_S4_L004.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
